"taxon",,,,,,,,,,,,,,,,,,,,,,,,
"Pisanosaurus_mertii",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3
"Alcovasaurus_longispinus",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
"Chungkingosaurus_jiangbeiensis",NA,NA,NA,NA,NA,3.2,1.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,4.2,NA,NA,NA,NA,NA
"Dacentrurus_armatus",NA,NA,NA,NA,NA,2.6,0.8,2.2,NA,NA,1.9,0.3,0.6,0.3,0.78,0.7,NA,1.6,NA,0.7,2.1,1.4,NA,1.4
"Miragaia_longicollum",NA,NA,5,0.2,17,1.14,1.53,1.8,NA,NA,2,0.4,NA,0.5,0.71,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"Emausaurus_ernsti",0.59,19,6,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euoplocephalus_tutus",NA,21,6,NA,8,1,2.83,2.83,NA,0.9,2.5,0.3,1.4,0.4,0.83,0.58,NA,2.4,2.8,2.5,0.2,NA,NA,NA
"Gastonia_burgei",NA,NA,NA,NA,8,1,3.1,3.1,NA,NA,2.5,0.5,1.1,0.6,0.81,NA,NA,1.3,NA,NA,NA,1.9,NA,NA
"Gigantspinosaurus_sichuanensis",NA,30,NA,NA,NA,NA,NA,NA,16,NA,NA,0.36,NA,NA,0.8,0.7,NA,NA,NA,NA,NA,1.6,1.57,NA
"Huayangosaurus_taibaii",0.8,21,6,0.5,8,NA,NA,1.6,16,1.25,2.7,0.4,0.8,NA,NA,NA,NA,1.7,2.11,NA,2,1.3,NA,7.4
"Jiangjunosaurus_junggarensis",NA,21,7,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kentrosaurus_aethiopicus",NA,NA,NA,NA,NA,1.27,0.45,0.62,NA,1.1,2.5,0.46,0.9,0.3,0.95,0.72,NA,1.6,4.57,1.1,1.6,1.69,1.47,1.45
"Laquintasaura_venezuelae",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesothosaurus_diagnosticus",0.5,16,6,0.1,9,1,3.2,3.2,14,NA,2.8,0.2,0.5,0.2,0.57,0.64,0.17,0.8,2.1,NA,2.7,1.6,0.78,5.3
"Loricatosaurus_priscus",NA,NA,NA,NA,NA,1.91,0.99,1.9,NA,NA,2.06,0.35,NA,0.3,0.94,NA,NA,NA,NA,NA,NA,1.7,NA,NA
"Paranthodon_africanus",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stegosaurus_homheni",NA,NA,NA,NA,NA,3.2,0.9,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,9.3,NA,NA,NA,NA,NA
"Hesperosaurus_mjosi",NA,NA,NA,NA,13,1.37,1.73,2.51,16,NA,2.3,0.5,1,0.4,0.93,NA,NA,1.48,4.42,0.7,1.8,1.8,1.8,NA
"Stegosaurus_stenops",0.3,23,6,0.3,11,3.52,0.8,2.5,14,1.6,2.1,0.43,0.97,0.41,0.94,0.67,NA,1.81,6.1,0.71,2.05,1.94,1.72,1.1
"Sauropelta_edwardsi",NA,NA,5,NA,8,1,1.95,1.95,16,0.99,2.9,0.3,NA,0.5,0.8,0.82,0.23,NA,NA,NA,NA,1.5,1.3,NA
"Scelidosaurus_harrisonii",0.5,NA,7,0.4,8,1.07,2.46,2.56,16,0.6,2.68,0.35,NA,NA,NA,NA,NA,0.8,2.4,0.25,1.9,NA,1.11,NA
"Scutellosaurus_lawleri",NA,18,4,0.1,7,1,3,3,NA,0.8,2,0.2,0.6,NA,NA,0.83,0.23,NA,NA,NA,NA,1.2,0.87,5.5
"Tuojiangosaurus_multispinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28,3.6,NA,NA,NA,NA,NA
